ID,Severity,Package,Fixed Version,Title,Description,Help URI,Tags
CVE-2022-23541,MEDIUM,jsonwebtoken,9.0.0,jsonwebtoken: Insecure implementation of key retrieval function could lead to Forgeable Public/Private Tokens from RSA to HMAC,"jsonwebtoken is an implementation of JSON Web Tokens. Versions `<= 8.5.1` of `jsonwebtoken` library can be misconfigured so that passing a poorly implemented key retrieval function referring to the `secretOrPublicKey` argument from the readme link will result in incorrect verification of tokens. There is a possibility of using a different algorithm and key combination in verification, other than the one that was used to sign the tokens. Specifically, tokens signed with an asymmetric public key could be verified with a symmetric HS256 algorithm. This can lead to successful validation of  forged tokens. If your application is supporting usage of both symmetric key and asymmetric key in jwt.verify() implementation with the same key retrieval function. This issue has been patched, please update to version 9.0.0.",https://avd.aquasec.com/nvd/cve-2022-23541,"vulnerability,security,MEDIUM"
CVE-2016-1000223,HIGH,jws,>=3.0.0,Forgeable Public/Private Tokens,"Since ""algorithm"" isn't enforced in `jws.verify()`, a malicious user could choose what algorithm is sent to the server. If the server is expecting RSA but is sent HMAC-SHA with RSA's public key, the server will think the public key is actually an HMAC private key. This could be used to forge any data an attacker wants.

In addition, there is the `none` algorithm to be concerned about.  In versions prior to 3.0.0, verification of the token could be bypassed when the `alg` field is set to `none`.

*Edit ( 7/29/16 ): A previous version of this advisory incorrectly stated that the vulnerability was patched in version 2.0.0 instead of 3.0.0. The advisory has been updated to reflect this new information. Thanks to Fabien Catteau for reporting the error.*",https://avd.aquasec.com/nvd/cve-2016-1000223,"vulnerability,security,HIGH"
CVE-2019-10744,CRITICAL,lodash,4.17.12,nodejs-lodash: prototype pollution in defaultsDeep function leading to modifying properties,Versions of lodash lower than 4.17.12 are vulnerable to Prototype Pollution. The function defaultsDeep could be tricked into adding or modifying properties of Object.prototype using a constructor payload.,https://avd.aquasec.com/nvd/cve-2019-10744,"vulnerability,security,CRITICAL"
CVE-2018-16487,HIGH,lodash,>=4.17.11,lodash: Prototype pollution in utilities function,"A prototype pollution vulnerability was found in lodash <4.17.11 where the functions merge, mergeWith, and defaultsDeep can be tricked into adding or modifying properties of Object.prototype.",https://avd.aquasec.com/nvd/cve-2018-16487,"vulnerability,security,HIGH"
CVE-2021-23337,HIGH,lodash,4.17.21,nodejs-lodash: command injection via template,Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,https://avd.aquasec.com/nvd/cve-2021-23337,"vulnerability,security,HIGH"
CVE-2019-1010266,MEDIUM,lodash,4.17.11,lodash: uncontrolled resource consumption in Data handler causing denial of service,"lodash prior to 4.17.11 is affected by: CWE-400: Uncontrolled Resource Consumption. The impact is: Denial of service. The component is: Date handler. The attack vector is: Attacker provides very long strings, which the library attempts to match using a regular expression. The fixed version is: 4.17.11.",https://avd.aquasec.com/nvd/cve-2019-1010266,"vulnerability,security,MEDIUM"
CVE-2020-28500,MEDIUM,lodash,4.17.21,"nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions","Lodash versions prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the toNumber, trim and trimEnd functions.",https://avd.aquasec.com/nvd/cve-2020-28500,"vulnerability,security,MEDIUM"
CVE-2018-3721,LOW,lodash,>=4.17.5,lodash: Prototype pollution in utilities function,"lodash node module before 4.17.5 suffers from a Modification of Assumed-Immutable Data (MAID) vulnerability via defaultsDeep, merge, and mergeWith functions, which allows a malicious user to modify the prototype of ""Object"" via __proto__, causing the addition or modification of an existing property that will exist on all objects.",https://avd.aquasec.com/nvd/cve-2018-3721,"vulnerability,security,LOW"
CVE-2024-4067,MEDIUM,micromatch,4.0.8,micromatch: vulnerable to Regular Expression Denial of Service,"The NPM package `micromatch` prior to 4.0.8 is vulnerable to Regular Expression Denial of Service (ReDoS). The vulnerability occurs in `micromatch.braces()` in `index.js` because the pattern `.*` will greedily match anything. By passing a malicious payload, the pattern matching will keep backtracking to the input while it doesn't find the closing bracket. As the input size increases, the consumption time will also increase until it causes the application to hang or slow down. There was a merged fix but further testing shows the issue persists. This issue should be mitigated by using a safe pattern that won't start backtracking the regular expression due to greedy matching. This issue was fixed in version 4.0.8.",https://avd.aquasec.com/nvd/cve-2024-4067,"vulnerability,security,MEDIUM"
CVE-2017-18214,HIGH,moment,2.19.3,nodejs-moment: Regular expression denial of service,"The moment module before 2.19.3 for Node.js is prone to a regular expression denial of service via a crafted date string, a different vulnerability than CVE-2016-4055.",https://avd.aquasec.com/nvd/cve-2017-18214,"vulnerability,security,HIGH"
CVE-2022-24785,HIGH,moment,2.29.2,Moment.js: Path traversal  in moment.locale,"Moment.js is a JavaScript date library for parsing, validating, manipulating, and formatting dates. A path traversal vulnerability impacts npm (server) users of Moment.js between versions 1.0.1 and 2.29.1, especially if a user-provided locale string is directly used to switch moment locale. This problem is patched in 2.29.2, and the patch can be applied to all affected versions. As a workaround, sanitize the user-provided locale name before passing it to Moment.js.",https://avd.aquasec.com/nvd/cve-2022-24785,"vulnerability,security,HIGH"
CVE-2016-4055,MEDIUM,moment,>=2.11.2,moment.js: regular expression denial of service,"The duration function in the moment package before 2.11.2 for Node.js allows remote attackers to cause a denial of service (CPU consumption) via a long string, aka a ""regular expression Denial of Service (ReDoS).""",https://avd.aquasec.com/nvd/cve-2016-4055,"vulnerability,security,MEDIUM"
CVE-2022-25887,HIGH,sanitize-html,2.7.1,sanitize-html: insecure global regular expression replacement logic may lead to ReDoS,The package sanitize-html before 2.7.1 are vulnerable to Regular Expression Denial of Service (ReDoS) due to insecure global regular expression replacement logic of HTML comment removal.,https://avd.aquasec.com/nvd/cve-2022-25887,"vulnerability,security,HIGH"
CVE-2016-1000237,MEDIUM,sanitize-html,>=1.4.3,XSS - Sanitization not applied recursively,sanitize-html before 1.4.3 has XSS.,https://avd.aquasec.com/nvd/cve-2016-1000237,"vulnerability,security,MEDIUM"
CVE-2017-16016,MEDIUM,sanitize-html,1.11.4,Cross-Site Scripting in sanitize-html,"Sanitize-html is a library for scrubbing html input of malicious values. Versions 1.11.1 and below are vulnerable to cross site scripting (XSS) in certain scenarios: If allowed at least one nonTextTags, the result is a potential XSS vulnerability.",https://avd.aquasec.com/nvd/cve-2017-16016,"vulnerability,security,MEDIUM"
CVE-2021-26539,MEDIUM,sanitize-html,2.3.1,sanitize-html: improper handling of internationalized domain name (IDN) can lead to bypass hostname whitelist validation,"Apostrophe Technologies sanitize-html before 2.3.1 does not properly handle internationalized domain name (IDN) which could allow an attacker to bypass hostname whitelist validation set by the ""allowedIframeHostnames"" option.",https://avd.aquasec.com/nvd/cve-2021-26539,"vulnerability,security,MEDIUM"
CVE-2021-26540,MEDIUM,sanitize-html,2.3.2,"sanitize-html: improper validation of hostnames set by the ""allowedIframeHostnames"" option can lead to bypass hostname whitelist for iframe element","Apostrophe Technologies sanitize-html before 2.3.2 does not properly validate the hostnames set by the ""allowedIframeHostnames"" option when the ""allowIframeRelativeUrls"" is set to true, which allows attackers to bypass hostname whitelist for iframe element, related using an src value that starts with ""/\\example.com"".",https://avd.aquasec.com/nvd/cve-2021-26540,"vulnerability,security,MEDIUM"
CVE-2024-21501,MEDIUM,sanitize-html,2.12.1,sanitize-html: Information Exposure when used on the backend,"Versions of the package sanitize-html before 2.12.1 are vulnerable to Information Exposure when used on the backend and with the style attribute allowed, allowing enumeration of files in the system (including project dependencies). An attacker could exploit this vulnerability to gather details about the file system structure and dependencies of the targeted server.",https://avd.aquasec.com/nvd/cve-2024-21501,"vulnerability,security,MEDIUM"
NSWG-ECO-154,MEDIUM,sanitize-html,>=1.11.4,Cross Site Scripting,"Sanitize-html is a library for scrubbing html input of malicious values.

Versions 1.11.1 and below are vulnerable to cross site scripting (XSS) in certain scenarios:

If allowed at least one nonTextTags, the result is a potential XSS vulnerability.
PoC:

```
var sanitizeHtml = require('sanitize-html');

var dirty = '!<textarea>&lt;/textarea&gt;<svg/onload=prompt`xs`&gt;</textarea>!';
var clean = sanitizeHtml(dirty, {
    allowedTags: [ 'textarea' ]
});

console.log(clean);

// !<textarea></textarea><svg/onload=prompt`xs`></textarea>!
```",,"vulnerability,security,MEDIUM"
CVE-2024-38355,MEDIUM,socket.io,"2.5.1, 4.6.2",socket.io: Unhandled 'error' event,"Socket.IO is an open source, real-time, bidirectional, event-based, communication framework. A specially crafted Socket.IO packet can trigger an uncaught exception on the Socket.IO server, thus killing the Node.js process. This issue is fixed by commit `15af22fc22` which has been included in `socket.io@4.6.2` (released in May 2023). The fix was backported in the 2.x branch as well with commit `d30630ba10`. Users are advised to upgrade. Users unable to upgrade may attach a listener for the ""error"" event to catch these errors.
",https://avd.aquasec.com/nvd/cve-2024-38355,"vulnerability,security,MEDIUM"
CVE-2023-32695,MEDIUM,socket.io-parser,"4.2.3, 3.4.3, 3.3.4",socket.io parser is a socket.io encoder and decoder written in JavaScr ...,"socket.io parser is a socket.io encoder and decoder written in JavaScript complying with version 5 of socket.io-protocol. A specially crafted Socket.IO packet can trigger an uncaught exception on the Socket.IO server, thus killing the Node.js process. A patch has been released in version 4.2.3.

",https://avd.aquasec.com/nvd/cve-2023-32695,"vulnerability,security,MEDIUM"
CVE-2024-28863,MEDIUM,tar,6.2.1,node-tar: denial of service while parsing a tar file due to lack of folders depth validation,node-tar is a Tar for Node.js. node-tar prior to version 6.2.1 has no limit on the number of sub-folders created in the folder creation process. An attacker who generates a large number of sub-folders can consume memory on the system running node-tar and even crash the Node.js client within few seconds of running it using a path with too many sub-folders inside. Version 6.2.1 fixes this issue by preventing extraction in excessively deep sub-folders.,https://avd.aquasec.com/nvd/cve-2024-28863,"vulnerability,security,MEDIUM"
CVE-2023-32314,CRITICAL,vm2,3.9.18,vm2: Sandbox Escape,vm2 is a sandbox that can run untrusted code with Node's built-in modules. A sandbox escape vulnerability exists in vm2 for versions up to and including 3.9.17. It abuses an unexpected creation of a host object based on the specification of `Proxy`. As a result a threat actor can bypass the sandbox protections to gain remote code execution rights on the host running the sandbox. This vulnerability was patched in the release of version `3.9.18` of `vm2`. Users are advised to upgrade. There are no known workarounds for this vulnerability.,https://avd.aquasec.com/nvd/cve-2023-32314,"vulnerability,security,CRITICAL"
CVE-2023-32313,MEDIUM,vm2,3.9.18,vm2: Inspect Manipulation,vm2 is a sandbox that can run untrusted code with Node's built-in modules. In versions 3.9.17 and lower of vm2 it was possible to get a read-write reference to the node `inspect` method and edit options for `console.log`. As a result a threat actor can edit options for the `console.log` command. This vulnerability was patched in the release of version `3.9.18` of `vm2`. Users are advised to upgrade. Users unable to upgrade may make the `inspect` method readonly with `vm.readonly(inspect)` after creating a vm.,https://avd.aquasec.com/nvd/cve-2023-32313,"vulnerability,security,MEDIUM"
CVE-2024-37890,HIGH,ws,"5.2.4, 6.2.3, 7.5.10, 8.17.1",nodejs-ws: denial of service when handling a request with many HTTP headers,"ws is an open source WebSocket client and server for Node.js. A request with a number of headers exceeding theserver.maxHeadersCount threshold could be used to crash a ws server. The vulnerability was fixed in ws@8.17.1 (e55e510) and backported to ws@7.5.10 (22c2876), ws@6.2.3 (eeb76d3), and ws@5.2.4 (4abd8f6). In vulnerable versions of ws, the issue can be mitigated in the following ways: 1. Reduce the maximum allowed length of the request headers using the --max-http-header-size=size and/or the maxHeaderSize options so that no more headers than the server.maxHeadersCount limit can be sent. 2. Set server.maxHeadersCount to 0 so that no limit is applied.",https://avd.aquasec.com/nvd/cve-2024-37890,"vulnerability,security,HIGH"
